Scenario,Concurrency Level,Failed Requests,Total Transactions,Requests/s,Time/Request (ms),Transfer Rate (Mb/s),Longest Transaction (ms),Shortest Transaction (ms),Throughput,Total Time (ms)
Thread,10,0,155,5.19,"192,52",0.00,8.94,0.49,0.00,29840
Thread,50,0,144,4.96,"201,53",0.00,24.85,0.45,0.00,29020
Thread,100,1,122,4.13,"241,89",0.00,18.85,0.00,0.00,29510
Thread,150,2,106,3.64,"274,72",0.00,19.86,0.00,0.00,29120
Thread,200,0,111,3.75,"266,76",0.00,19.43,0.00,0.00,29610
TrheadSecure,10,0,345,11.60,"86,23",0.34,8.47,0.02,0.00,29750
TrheadSecure,50,0,138,4.66,"214,64",0.00,18.02,0.00,0.00,29620
TrheadSecure,100,0,83,2.83,"353,37",0.00,25.62,0.00,0.00,29330
TrheadSecure,150,0,43,1.44,"692,79",0.00,18.24,0.00,0.00,29790
TrheadSecure,200,0,65,2.19,"456,00",0.00,17.88,0.00,0.00,29640
Process,10,0,149,4.98,"200,94",0.00,4.41,0.41,0.00,29940
Process,50,0,129,4.38,"228,14",0.00,12.88,0.87,0.00,29430
Process,100,0,119,4.00,"249,83",0.00,25.08,1.59,0.00,29730
Process,150,0,34,1.14,"880,88",0.00,29.64,0.00,0.00,29950
Process,200,0,96,3.30,"303,13",0.00,28.97,0.00,0.00,29100
ProcessSecure,10,0,166,5.57,"179,58",1.25,17.50,0.05,0.00,29810
ProcessSecure,50,0,90,03.01,"332,22",03.04,18.59,0.00,0.00,29900
ProcessSecure,100,0,85,2.87,"348,12",2.14,21.72,0.00,0.00,29590
ProcessSecure,150,0,56,1.84,"544,29",5.50,24.65,0.15,0.00,30480
ProcessSecure,200,0,64,2.14,"467,81",02.05,17.59,0.00,0.00,29940
